id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,k
YVH,food,F,Exponential,0.9782336107606979,0.042833124721607906,71.2167184981839,0.34766428571428565,0.7783559105546506
YVH,music,F,Exponential,0.9875812263915467,0.04195852064706978,72.28034794109776,0.47657904411764695,0.7945864530875053
JB,food,F,Exponential,0.6963975228115943,0.025326364317164216,51.129939136467215,0.8176572115384616,1.316838900182367
CF,food,F,Exponential,0.41232376055618764,0.12382189226478253,32.457611761688234,0.8999515050167226,0.26912586192247046
LG,food,F,Exponential,0.333158854700892,0.27624282767128594,26.366355129614586,0.9301656250000002,0.11706693906084058
JDA,food,C,Exponential,0.7931153226272898,0.0908477661642469,51.37774720884733,0.583008012820513,0.36692297427420867
VB,money,C,Exponential,0.3122518038389043,0.9853234505851235,25.574025829417366,0.9463691152597403,0.000988128696544857
DCRD,music,C,Exponential,0.09172598069973145,0.985799604630583,8.724127032470122,0.9957557692307688,0.0009557627605314872
PF,food,F,Exponential,0.3702411515591783,0.9552948117571216,29.362055674014677,0.9161261904761907,0.0030726198490737674
ER,money,F,Exponential,0.44499495135629635,0.5332486491281506,38.88895654629818,0.8833645510835914,0.04745587850609378
JLN,money,C,Exponential,0.3514855535426442,0.42653429600888026,28.395066589020246,0.9271567337461297,0.06798229576447218
DN,money,F,Exponential,,0.9991406274781158,1.8090129036291573,,5.7324348210764065e-05
JLN,music,F,Exponential,0.37780738424359006,0.2962170353742615,29.73130272892927,0.906494921875,0.10814211587638825
CV,money,F,Exponential,0.11985122197480302,0.9913155092423533,10.91651337983151,0.9901103365384615,0.0005823425256104312
CV,music,F,Exponential,0.1768045952247105,0.9914626553726145,15.815771214446784,0.9840072727272725,0.0005724189304543974
AT,music,F,Exponential,0.181810665682265,0.030352312788028253,15.416235389871675,0.9798700000000004,1.0986131639236218
DG,music,F,Exponential,0.20647479698202587,0.343376002461074,18.490283276411184,0.9881488281250002,0.09068406284086572
CL,money,C,Exponential,0.42186048718449753,0.9147128558974564,33.258996283043174,0.8729393812709031,0.006034004353074282
LG,food,C,Exponential,0.35895916631089786,0.6744845898535146,29.19805670635549,0.940499419504644,0.028235040375279956
VS,food,C,Exponential,0.41224962739588755,0.2639596436393668,32.12624106073467,0.884098412698413,0.12314242566220869
DG,food,F,Exponential,0.32022672136412234,0.5231061976698099,25.368239485425335,0.936361904761905,0.04912589808745925
RR,music,C,Exponential,0.307238326954689,0.8603145542284345,25.33635807624733,0.9395401785714288,0.010295252065611393
CM,music,C,Exponential,0.3834989080562619,0.1891368810907317,30.825103673722104,0.9093382711038958,0.17532498124344664
SP,music,F,Exponential,0.4302568500572167,0.17814176366169976,33.83878484936478,0.8794801587301592,0.1864218102031534
BD,money,F,Exponential,0.3152552741560494,0.5516021631464849,24.963240247717405,0.9380758513931886,0.0445523559858744
NG,music,F,Exponential,0.41280335408605695,0.20144870316148425,32.18605884300359,0.883748412698413,0.1642714534908771
AK,money,F,Exponential,0.4075743713346581,0.6038455697983389,32.424089780613805,0.9165831404320985,0.03702098389182291
DD,money,C,Exponential,0.2929490823013109,0.9536345509557758,24.686124278154224,0.9527958603896102,0.00319042876466734
JL,money,C,Exponential,0.3029817463241724,0.9838910702467076,25.89380033416044,0.9357763636363634,0.0010856190210346763
JB,money,F,Exponential,0.18979851615971027,0.9916599443024379,16.79893967744131,0.9782447115384612,0.0005591167698960809
EM,money,C,Exponential,0.017858098169442595,0.9969369057346612,2.658929600132493,1.0,0.00020462435465853226
VB,food,C,Exponential,0.5762706711168193,0.9427367210946267,44.58447849835317,0.7315149176954732,0.003970625540438765
DD,music,F,Exponential,0.3757901187232869,0.7012665995985722,31.20452019377735,0.926920703125,0.025243343880214097
DG,money,C,Exponential,0.3666729228771891,0.5578195779721122,28.97646601134589,0.9308314628482972,0.04360141157125969
SP,money,C,Exponential,0.4895499047767283,0.197991090737513,38.64431487503624,0.8500142045454546,0.16724425415023902
SP,music,C,Exponential,0.4190606793117205,0.20031982359342915,32.56234328566825,0.8897182539682542,0.16523140210971932
JB,music,C,Exponential,0.6680089774314169,0.019111151897961743,49.28669188807027,0.8428250868055557,1.7457831825681283
GA,music,C,Exponential,0.3062613154283284,0.6565778664192126,25.61783089263299,0.9542912151702786,0.030332032136287452
SD,music,C,Exponential,0.4029416305914799,0.91883746039815,33.33148195434688,0.9100677759740262,0.005724988457436597
EM,music,F,Exponential,0.3415334511450742,0.7789218227087258,27.412774775867362,0.9308785156250001,0.017412592018576225
AK,food,C,Exponential,0.4625481754366676,0.7597554215985054,35.93268339430793,0.866092879256966,0.019240158137770323
AD,music,F,Exponential,0.3144006454327658,0.23680993532568695,28.87324169684516,0.9444373468137257,0.13855646858358578
KM,food,F,Exponential,0.4760240348598604,0.11370066381324812,36.99966903747138,0.8423810763888888,0.2931305736605452
NG,food,F,Exponential,0.6083109638507285,0.021644328570844598,44.41719341669185,0.9390763636363636,1.541150910075288
BD,music,C,Exponential,0.3814245687062997,0.07368067357049768,34.5216093200569,0.911211144179894,0.4524299839491383
AF,music,C,Exponential,0.4973220485753368,0.21025601883311287,39.406016311936526,0.86756640625,0.15711539280748502
BJ,music,C,Exponential,0.3580500993304544,0.8394764316387621,28.899035222147493,0.9163998015873018,0.012026317409625925
MK,food,C,Exponential,0.4744644885126136,0.654880331303751,36.67035602545638,0.8391973684210526,0.030535096374926785
JD,music,F,Exponential,0.39247414520415413,0.7685685652835995,31.149384498153136,0.90601640625,0.018391892689366453
