id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk
DG,food,F,Hyperbolic,0.40208174125257634,0.5296167476455567,31.338424298367666,0.8878496031746036,-2.6169543650929272
RR,music,C,Hyperbolic,0.3295328831854806,0.8268272674939343,26.35808499210201,0.9390714285714284,-4.208034163907727
CM,music,C,Hyperbolic,0.38042106825646105,0.2890925839464566,30.57033705886958,0.9057995129870128,-1.4085503218438984
SP,music,F,Hyperbolic,0.42295414662879294,0.27316422742911994,33.22941368368614,0.8840480158730162,-1.312619230707707
BD,money,F,Hyperbolic,0.38622524103985323,0.5528056115282061,30.31916234787014,0.9185383126934985,-2.7242548375354616
NG,music,F,Hyperbolic,0.4062398354328076,0.29486593988818877,31.609355630490715,0.8951285714285716,-1.4424743350922535
AK,money,F,Hyperbolic,0.3636860902889696,0.5980502198976693,29.640710685268306,0.9296319444444445,-2.9352172336645905
DD,money,C,Hyperbolic,0.32737157505767056,0.9368706194517988,26.70730801571355,0.9380728490259744,-5.3836749324594795
JL,money,C,Hyperbolic,0.30243606812240764,0.9809214655636037,26.39496011253086,0.9370009090909088,-6.641557809207628
JB,money,F,Hyperbolic,0.1838333802787108,0.9908930733675853,16.18860149566998,0.9798519230769227,-7.394571973062749
EM,money,C,Hyperbolic,0.018242101180430882,0.9968719551040379,2.618873903120907,1.0,-8.471220033204563
VB,food,C,Hyperbolic,0.5794147687800106,0.9445153055129683,44.39035372161154,0.710329218106996,-5.5235887427542805
DD,music,F,Hyperbolic,0.38919602227165395,0.6914874722789848,32.06758340980936,0.9096464843750002,-3.3926139075040687
DG,money,C,Hyperbolic,0.3908231426833513,0.5613799938151258,32.29199496097353,0.9324373065015477,-2.7640082839573696
SP,money,C,Hyperbolic,0.4804868198202856,0.3090653303552401,37.62695464966024,0.8564703733766237,-1.524171752502014
SP,music,C,Hyperbolic,0.4343370065638641,0.29176044054153283,33.58885264771453,0.8687087301587305,-1.4242797222769208
JB,music,C,Hyperbolic,0.4122476631300926,0.02528818958396793,32.176199257197524,0.884853298611111,1.9588371433798306
GA,music,C,Hyperbolic,0.24684914297917346,0.6311718771222723,20.970839707893113,0.9677807662538698,-3.0927623940659488
SD,music,C,Hyperbolic,0.3867172921366443,0.8935999424187775,31.485377505462687,0.9108906250000002,-4.79861658490639
EM,music,F,Hyperbolic,0.3322704145696176,0.7429080721049733,26.38435773699356,0.9309992187500001,-3.6703675967538762
AK,food,C,Hyperbolic,0.5121286410744192,0.7431743727520524,39.59864560563493,0.8258869969040247,-3.6718809621481006
AD,music,F,Hyperbolic,0.3425973489311711,0.3252026818459997,31.696709785332718,0.9468621323529413,-1.6142966394957092
KM,food,F,Hyperbolic,0.5087861405483649,0.2030809135587227,39.20050190904018,0.8112335069444444,-0.8367965135252128
NG,food,F,Hyperbolic,0.25958883487075024,0.026878927261033622,20.96043416445837,0.9628781818181816,1.883389257639736
BD,music,C,Hyperbolic,0.35880949033757015,0.1563596960233073,32.590012970494236,0.9181896494708994,-0.444486009727162
AF,music,C,Hyperbolic,0.4900800827609034,0.3267238039698656,39.15703650424637,0.8648365234374998,-1.6226548535950025
BJ,music,C,Hyperbolic,0.3673381764377939,0.8055210243567512,29.532618955363215,0.9131073412698415,-4.0572207799386275
MK,food,C,Hyperbolic,0.47827241278552923,0.6473058073772725,36.90778409952969,0.8264206656346749,-3.1710168494241886
