id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk,s
JB,food,F,Hyperboloid,0.35049251565029105,0.008550576161329981,27.862291956645663,0.9202903846153847,1.4630606578068537,1.8998842460969398
CF,food,F,Hyperboloid,0.42741507497856146,0.1791385539203303,33.27819133301976,0.8847416387959867,-1.3314891891888683,1.42918897458239
LG,food,F,Hyperboloid,0.3604429938498578,0.31912602310904725,28.329669063353464,0.9206910156250003,-2.194519955814988,1.4613580534154411
JDA,food,C,Hyperboloid,0.7610312668959514,0.4410337323633054,50.40731571795056,0.5191260683760683,-2.132017105255837,0.9555587219538312
VB,money,C,Hyperboloid,0.16183629964695467,0.8301057930282714,15.627051714371818,0.9851174918831169,-0.8347960554103586,0.10224437006833167
DCRD,music,C,Hyperboloid,0.09501557846309922,0.971867187195926,9.493146729925002,0.9941038461538461,-5.725132414080617,0.6045655663434034
PF,food,F,Hyperboloid,0.39366642659994305,0.9264192045899694,31.250933384885567,0.9058793650793654,-5.263826829982956,1.0470898520718523
ER,money,F,Hyperboloid,0.40378118902215293,0.4641303186290482,32.45333179179879,0.8899073142414861,-2.0119106287905795,0.8250302044666615
JLN,money,C,Hyperboloid,0.3937679909485627,0.4382934399909057,31.179065037421395,0.9035688854489162,-2.855121439395242,1.5910091498856687
DN,money,F,Hyperboloid,,0.9966680586332568,1.698114278985963,,-6.517150934646296,0.15284709230464769
JLN,music,F,Hyperboloid,0.38460124699441756,0.3281447912157851,30.274400371089722,0.9118527343750001,-2.0420765119203157,1.2846861248142611
CV,money,F,Hyperboloid,0.1341862156214793,0.9834380112461234,12.410147604580349,0.9894281249999999,-6.2354260017428,0.5810183649728943
CV,music,F,Hyperboloid,0.06560850525678721,0.9420515959096045,7.548039382335387,0.9967495454545453,-2.900377809612354,0.10637266942840372
AT,music,F,Hyperboloid,0.24648519918900347,0.03820429319350878,19.992486712449672,0.9623811363636362,-0.10558274989973894,1.925718151403676
DG,music,F,Hyperboloid,0.26723417837635394,0.3753378651821378,21.939200664368336,0.9429617187500001,-2.781878269889099,1.8413615158395373
CL,money,C,Hyperboloid,0.2532999922879625,0.7011134508617165,21.67441624002864,0.961190635451505,-1.1437776951408676,0.22742309191162643
LG,food,C,Hyperboloid,0.39485884699850343,0.6413504550888702,32.095022581551625,0.9063968653250775,-3.487470179215099,1.3160946494073062
VS,food,C,Hyperboloid,0.4181746963812183,0.3128194291660309,32.66744199447063,0.8821932539682542,-1.8385626433929418,1.1886341756814003
DG,food,F,Hyperboloid,0.379559165358886,0.5040631341787811,29.676119881065073,0.9218511904761906,-3.161442775333032,1.629530647874003
RR,music,C,Hyperboloid,0.33258551619433663,0.7982697845557567,26.648165491097963,0.9326737012987012,-4.150688438673415,1.132637985463962
CM,music,C,Hyperboloid,0.38213295506620926,0.24086661367444662,30.73338884334004,0.9041570616883113,-1.4575158832750759,1.2108146910114388
SP,music,F,Hyperboloid,0.4237017426552002,0.2289374154346255,33.411681462809305,0.8833269841269844,-1.1521789066724744,1.0685374944831123
BD,money,F,Hyperboloid,0.36322748151824136,0.5313423311289125,28.633908299238087,0.9262581269349845,-3.2657154057530917,1.6181031464023508
NG,music,F,Hyperboloid,0.4051235471423125,0.24203135535256018,31.523590536827072,0.8903428571428574,-1.224037761029576,1.0599591478647232
AK,money,F,Hyperboloid,0.33879913683511587,0.49378645499923335,28.435983506433164,0.9383398919753086,-1.6349810019147808,0.6029933641216169
DD,money,C,Hyperboloid,0.32786510108171407,0.9289889776680245,26.99302718600635,0.9353352272727273,-5.468064506386992,1.2265824077189809
JL,money,C,Hyperboloid,0.29994283662131094,0.9454998788630513,27.053665347560564,0.9335709090909089,-4.622774243793523,0.41961155518090676
JB,money,F,Hyperboloid,0.16969223022118823,0.9691051842412506,15.521248629783704,0.9824584134615383,-4.805117530247698,0.2770245009051612
EM,money,C,Hyperboloid,0.024192910080412324,0.9929870321640542,3.3456111676509255,1.0,-6.629346706159964,0.3602410316313105
VB,food,C,Hyperboloid,0.5850638462040845,0.919347672615252,44.867234118592876,0.6944722222222223,-4.8103689423035325,0.7522325858227201
